# of predictors,i,predictors,fold,f1_score_weighted
2,13,1|2,2,0.7169109253147812
2,13,1|2,3,0.5313572474697794
2,13,1|2,4,0.7137195506752493
2,14,7|9,0,0.6733896185115696
2,14,7|9,1,0.6235053987387826
2,14,7|9,2,0.6844555625043431
2,14,7|9,3,0.43394736417992236
2,14,7|9,4,0.6181975707317622
2,15,7|8,0,0.6591931670860978
2,15,7|8,1,0.6210826210826211
2,15,7|8,2,0.5978737946424895
2,15,7|8,3,0.4766803840877914
2,15,7|8,4,0.6877168750742964
2,16,0|7,0,0.5759191600013167
2,16,0|7,1,0.5546778018487368
2,16,0|7,2,0.6110649387960312
2,16,0|7,3,0.47042142844940976
2,16,0|7,4,0.6577699850639651
2,17,0|5,0,0.5651200651200652
2,17,0|5,1,0.6330317536578354
2,17,0|5,2,0.6904128129934581
2,17,0|5,3,0.4886827585028784
2,17,0|5,4,0.6841766360947945
2,18,1|3,0,0.642774259053329
2,18,1|3,1,0.6297435897435898
2,18,1|3,2,0.6727153188691649
2,18,1|3,3,0.5924458055605597
2,18,1|3,4,0.7033070947964565
2,19,1|8,0,0.6617012617012616
2,19,1|8,1,0.6006593406593407
2,19,1|8,2,0.6718800912349301
2,19,1|8,3,0.6359082094376213
2,19,1|8,4,0.7710707896754408
2,20,4|9,0,0.6733896185115696
2,20,4|9,1,0.6649429002370179
2,20,4|9,2,0.7094017094017094
2,20,4|9,3,0.573075326499984
2,20,4|9,4,0.7874333066655012
2,21,0|2,0,0.6277484373006761
2,21,0|2,1,0.5754053742564076
2,21,0|2,2,0.6147142617730852
2,21,0|2,3,0.5565296447821286
2,21,0|2,4,0.6534458037726011
2,22,8|10,0,0.5934406678592724
2,22,8|10,1,0.6913082784450472
2,22,8|10,2,0.7624351968614264
2,22,8|10,3,0.4973626373626373
2,22,8|10,4,0.7152292152292152
2,23,4|7,0,0.6207638515330822
2,23,4|7,1,0.6128862590401052
2,23,4|7,2,0.5920704274013289
2,23,4|7,3,0.6643874643874643
2,23,4|7,4,0.7617502323384676
2,24,3|4,0,0.7322318343594938
2,24,3|4,1,0.6379893655925462
2,24,3|4,2,0.538466734211415
2,24,3|4,3,0.574336482231219
2,24,3|4,4,0.5923489108202484
2,25,7|8,0,0.6591931670860978
2,25,7|8,1,0.6210826210826211
2,25,7|8,2,0.5978737946424895
2,25,7|8,3,0.4766803840877914
2,25,7|8,4,0.6877168750742964
2,26,3|8,0,0.6433267587113741
2,26,3|8,1,0.6144128275987731
2,26,3|8,2,0.6222557399027988
2,26,3|8,3,0.5897629414610546
2,26,3|8,4,0.7306783051463902
2,27,0|9,0,0.641603989728743
2,27,0|9,1,0.6508248280004404
2,27,0|9,2,0.7007235447133144
2,27,0|9,3,0.47042142844940976
2,27,0|9,4,0.689149560117302
2,28,8|9,0,0.7061455454665088
2,28,8|9,1,0.7130341880341879
2,28,8|9,2,0.6503408498293408
2,28,8|9,3,0.47219978337230606
2,28,8|9,4,0.659919028340081
