# of predictors,i,predictors,fold,f1_score_macro
2,30,15|36,2,0.4185427271427918
2,31,15|35,0,0.4266107246788424
2,31,15|35,1,0.46084386344869577
2,31,15|35,2,0.45245023374790466
3,0,7|20|25,0,0.5259415666997648
3,0,7|20|25,1,0.5230265344698584
3,0,7|20|25,2,0.5214497687446474
3,1,7|30|34,0,0.5155688147510956
3,1,7|30|34,1,0.5066624204292163
3,1,7|30|34,2,0.4942465358009456
3,2,11|28|29,0,0.4942011038747805
3,2,11|28|29,1,0.5027312266709801
3,2,11|28|29,2,0.5010804169716493
3,3,23|26|30,0,0.49818954199288196
3,3,23|26|30,1,0.5046521481057796
3,3,23|26|30,2,0.47857417571677674
3,4,5|10|34,0,0.49952936198660663
3,4,5|10|34,1,0.5015650920270532
3,4,5|10|34,2,0.5034752986626906
3,5,13|15|29,0,0.4987212541898561
3,5,13|15|29,1,0.5093313463921976
3,5,13|15|29,2,0.5064888923998101
3,6,9|13|26,0,0.5007392100738292
3,6,9|13|26,1,0.5141277454848412
3,6,9|13|26,2,0.5223209787467956
3,7,6|28|30,0,0.5039810956171884
3,7,6|28|30,1,0.5177201942081543
3,7,6|28|30,2,0.4887022036739012
3,8,10|31|34,0,0.5033521097913852
3,8,10|31|34,1,0.5014452982895415
3,8,10|31|34,2,0.4946088981797623
3,9,2|28|30,0,0.49988839205298313
3,9,2|28|30,1,0.49617258855867014
3,9,2|28|30,2,0.5018747666112731
3,10,3|13|22,0,0.48662148434786695
3,10,3|13|22,1,0.48882768312970454
3,10,3|13|22,2,0.48856356016541724
3,11,5|7|34,0,0.5252772006676915
3,11,5|7|34,1,0.5049630884411516
3,11,5|7|34,2,0.5044769064215471
3,12,1|9|16,0,0.4885848138643348
3,12,1|9|16,1,0.474295243040332
3,12,1|9|16,2,0.47430281488372533
3,13,19|29|34,0,0.5020951950751747
3,13,19|29|34,1,0.5067262479830131
3,13,19|29|34,2,0.5140204263943594
3,14,15|19|32,0,0.46727312102792434
3,14,15|19|32,1,0.4326761711312046
3,14,15|19|32,2,0.47048083941186086
3,15,15|29|32,0,0.4681209002573132
3,15,15|29|32,1,0.4927866929283966
3,15,15|29|32,2,0.4843336334664829
3,16,2|15|33,0,0.4791553499446519
3,16,2|15|33,1,0.4852669375121826
3,16,2|15|33,2,0.4743174459087269
3,17,15|18|36,0,0.480540611481191
3,17,15|18|36,1,0.4992901259026528
3,17,15|18|36,2,0.4960046395410153
3,18,8|18|27,0,0.4391202989489183
3,18,8|18|27,1,0.45193859690366994
3,18,8|18|27,2,0.4440932440592524
3,19,10|18|24,0,0.4885278505486425
3,19,10|18|24,1,0.4531619712055299
3,19,10|18|24,2,0.47052985016277926
3,20,6|22|28,0,0.46579887099880946
3,20,6|22|28,1,0.47886993813454937
3,20,6|22|28,2,0.48218080284026615
3,21,5|15|36,0,0.4613607684620318
3,21,5|15|36,1,0.48727525564218716
3,21,5|15|36,2,0.497437356491045
3,22,15|34|35,0,0.48184491313696726
3,22,15|34|35,1,0.4683192923376849
3,22,15|34|35,2,0.487055387291948
3,23,2|6|32,0,0.46688033631461523
3,23,2|6|32,1,0.49597700892188934
3,23,2|6|32,2,0.477582138831949
3,24,3|8|22,0,0.47481813429729414
3,24,3|8|22,1,0.49999436826916344
3,24,3|8|22,2,0.46835178728724763
3,25,15|29|35,0,0.4814704017108052
3,25,15|29|35,1,0.48401726886478774
3,25,15|29|35,2,0.49715179589506353
3,26,6|14|27,0,0.4383499285071541
3,26,6|14|27,1,0.4143641987423729
3,26,6|14|27,2,0.43322134120522576
3,27,21|28|31,0,0.5021211271242693
3,27,21|28|31,1,0.5007458238050922
3,27,21|28|31,2,0.5057081002931901
3,28,5|12|20,0,0.5108704389331322
3,28,5|12|20,1,0.4928438476490742
3,28,5|12|20,2,0.48037666902988224
3,29,1|22|33,0,0.465482108545018
3,29,1|22|33,1,0.45931603234368623
3,29,1|22|33,2,0.4824950676926672
3,30,25|30|34,0,0.5042050675117347
3,30,25|30|34,1,0.5100576015297661
3,30,25|30|34,2,0.5084372636684891
3,31,4|16|25,0,0.4962983326942978
3,31,4|16|25,1,0.5026701906486494
3,31,4|16|25,2,0.501501570501038
4,0,7|18|20|25,0,0.5414104595212139
4,0,7|18|20|25,1,0.5434804450436655
4,0,7|18|20|25,2,0.5522385394198538
4,1,7|23|30|34,0,0.529678152197595
4,1,7|23|30|34,1,0.5334206402645111
