# of predictors,i,predictors,fold,accuracy
2,5,5|6,0,0.717948717948718
2,5,5|6,1,0.5555555555555556
2,5,5|6,2,0.7264957264957265
2,5,5|6,3,0.6068376068376068
2,5,5|6,4,0.717948717948718
2,6,2|8,0,0.6752136752136753
2,6,2|8,1,0.5982905982905983
2,6,2|8,2,0.6752136752136753
2,6,2|8,3,0.6581196581196581
2,6,2|8,4,0.7435897435897436
3,0,2|3|7,0,0.6538461538461539
3,0,2|3|7,1,0.6634615384615384
3,0,2|3|7,2,0.7019230769230769
3,0,2|3|7,3,0.75
3,0,2|3|7,4,0.7980769230769231
3,1,5|7|9,0,0.6826923076923077
3,1,5|7|9,1,0.6538461538461539
3,1,5|7|9,2,0.625
3,1,5|7|9,3,0.46153846153846156
3,1,5|7|9,4,0.6346153846153846
3,2,2|9|10,0,0.6730769230769231
3,2,2|9|10,1,0.6730769230769231
3,2,2|9|10,2,0.6923076923076923
3,2,2|9|10,3,0.6442307692307693
3,2,2|9|10,4,0.8653846153846154
3,3,7|9|10,0,0.6538461538461539
3,3,7|9|10,1,0.6634615384615384
3,3,7|9|10,2,0.6538461538461539
3,3,7|9|10,3,0.5192307692307693
3,3,7|9|10,4,0.6153846153846154
3,4,5|6|7,0,0.6634615384615384
3,4,5|6|7,1,0.5769230769230769
3,4,5|6|7,2,0.7019230769230769
3,4,5|6|7,3,0.5288461538461539
3,4,5|6|7,4,0.7019230769230769
3,5,1|2|8,0,0.6826923076923077
3,5,1|2|8,1,0.5961538461538461
3,5,1|2|8,2,0.6538461538461539
3,5,1|2|8,3,0.5865384615384616
3,5,1|2|8,4,0.7596153846153846
3,6,3|7|9,0,0.6826923076923077
3,6,3|7|9,1,0.6634615384615384
3,6,3|7|9,2,0.7596153846153846
3,6,3|7|9,3,0.6057692307692307
3,6,3|7|9,4,0.6923076923076923
4,0,1|3|4|7,0,0.7582417582417582
4,0,1|3|4|7,1,0.7472527472527473
4,0,1|3|4|7,2,0.7472527472527473
4,0,1|3|4|7,3,0.6923076923076923
4,0,1|3|4|7,4,0.8131868131868132
4,1,4|5|7|9,0,0.6483516483516484
4,1,4|5|7|9,1,0.6263736263736264
4,1,4|5|7|9,2,0.6593406593406593
4,1,4|5|7|9,3,0.6153846153846154
4,1,4|5|7|9,4,0.7582417582417582
4,2,2|7|9|10,0,0.6043956043956044
4,2,2|7|9|10,1,0.6373626373626373
4,2,2|7|9|10,2,0.7032967032967034
4,2,2|7|9|10,3,0.6813186813186813
4,2,2|7|9|10,4,0.8021978021978022
4,3,5|6|7|10,0,0.5384615384615384
4,3,5|6|7|10,1,0.6703296703296703
4,3,5|6|7|10,2,0.7252747252747253
4,3,5|6|7|10,3,0.5714285714285714
4,3,5|6|7|10,4,0.7472527472527473
4,4,1|2|7|8,0,0.6593406593406593
4,4,1|2|7|8,1,0.6483516483516484
4,4,1|2|7|8,2,0.6703296703296703
4,4,1|2|7|8,3,0.6153846153846154
4,4,1|2|7|8,4,0.7912087912087912
4,5,3|6|9|10,0,0.7472527472527473
4,5,3|6|9|10,1,0.7252747252747253
4,5,3|6|9|10,2,0.7362637362637363
4,5,3|6|9|10,3,0.6043956043956044
4,5,3|6|9|10,4,0.8461538461538461
