# of predictors,i,predictors,fold,mcc
2,4,7|10,1,0.24813516777265204
2,4,7|10,2,0.2566221217937553
2,4,7|10,3,0.03675948925103043
2,4,7|10,4,0.3095116361226854
2,5,5|6,0,0.4152184799743897
2,5,5|6,1,0.049311367272153794
2,5,5|6,2,0.4567923096952384
2,5,5|6,3,0.19345800157800092
2,5,5|6,4,0.4498608896412261
2,6,2|8,0,0.334652066077262
2,6,2|8,1,0.1478625207114137
2,6,2|8,2,0.36473772562015855
2,6,2|8,3,0.3076564538980068
2,6,2|8,4,0.47373931887198817
2,7,1|9,0,0.3690262975040515
2,7,1|9,1,0.28475861786638273
2,7,1|9,2,0.3683628304938625
2,7,1|9,3,0.20676430854947098
2,7,1|9,4,0.5196206299832055
2,8,3|7,0,0.3173563700567913
2,8,3|7,1,0.19258864052016603
2,8,3|7,2,0.28168113585237115
2,8,3|7,3,0.22396542957264567
2,8,3|7,4,0.44428376033959704
2,9,3|6,0,0.31010797107635474
2,9,3|6,1,0.14918791254013122
2,9,3|6,2,0.22796851407482258
2,9,3|6,3,0.007128958311269378
2,9,3|6,4,0.5157266969762434
2,10,3|10,0,0.2162995061231084
2,10,3|10,1,0.22677868380553634
2,10,3|10,2,0.03695121120487795
2,10,3|10,3,0.3237481030440162
2,10,3|10,4,0.1731998422775508
2,11,2|9,0,0.3297732864594527
2,11,2|9,1,0.27121251999684587
2,11,2|9,2,0.3878641469525484
2,11,2|9,3,0.21968621277986813
2,11,2|9,4,0.6004325171766376
2,12,7|10,0,0.061865270517993724
2,12,7|10,1,0.24813516777265204
2,12,7|10,2,0.2566221217937553
2,12,7|10,3,0.03675948925103043
2,12,7|10,4,0.3095116361226854
2,13,1|2,0,0.20015740459784206
2,13,1|2,1,0.28390560482230204
2,13,1|2,2,0.43439694270157597
2,13,1|2,3,0.0948373047016334
2,13,1|2,4,0.42414923906049895
2,14,7|9,0,0.2870165128772088
2,14,7|9,1,0.20519498058335356
2,14,7|9,2,0.3683628304938625
2,14,7|9,3,-0.08428415925743335
2,14,7|9,4,0.2888138197727784
2,15,7|8,0,0.29095718698132317
2,15,7|8,1,0.2232952478719928
2,15,7|8,2,0.18499891602515212
2,15,7|8,3,0.18735992234901797
2,15,7|8,4,0.39260951177856473
2,16,0|7,0,0.11194882644037217
2,16,0|7,1,0.15043285463301695
2,16,0|7,2,0.283662385609074
2,16,0|7,3,-0.10129168737870824
2,16,0|7,4,0.3353105352955882
2,17,0|5,0,0.20930802485454048
2,17,0|5,1,0.24292704886982625
2,17,0|5,2,0.3971854868387004
2,17,0|5,3,-0.060566163587268844
2,17,0|5,4,0.3754791153518414
2,18,1|3,0,0.22824095483457055
2,18,1|3,1,0.2345787158142091
2,18,1|3,2,0.3487336995594646
2,18,1|3,3,0.20661551153014437
2,18,1|3,4,0.4112489110333541
2,19,1|8,0,0.2587982160565464
2,19,1|8,1,0.14907119849998599
2,19,1|8,2,0.38890872965260115
2,19,1|8,3,0.27226234858230686
2,19,1|8,4,0.5428506101102081
2,20,4|9,0,0.2870165128772088
2,20,4|9,1,0.31734855240510645
2,20,4|9,2,0.4167155425219941
2,20,4|9,3,0.1554436081179078
2,20,4|9,4,0.5693803327298946
2,21,0|2,0,0.23760191507915335
2,21,0|2,1,0.1645653986797062
2,21,0|2,2,0.2817203568203842
