# of predictors,i,predictors,fold,cohen_kappa_score
7,2,2|3|6|7|8|9|10,2,0.2517985611510791
7,2,2|3|6|7|8|9|10,3,0.39181286549707595
7,2,2|3|6|7|8|9|10,4,0.6020408163265306
7,3,1|2|3|5|6|7|8,0,0.1719745222929936
7,3,1|2|3|5|6|7|8,1,0.36585365853658547
7,3,1|2|3|5|6|7|8,2,0.4484848484848485
7,3,1|2|3|5|6|7|8,3,0.34029850746268664
7,3,1|2|3|5|6|7|8,4,0.4783950617283951
7,4,0|1|2|3|6|7|9,0,0.21999999999999986
7,4,0|1|2|3|6|7|9,1,0.4057142857142857
7,4,0|1|2|3|6|7|9,2,0.4321372854914196
7,4,0|1|2|3|6|7|9,3,0.2547770700636942
7,4,0|1|2|3|6|7|9,4,0.42136498516320475
7,5,0|3|6|7|8|9|10,0,0.26821192052980125
7,5,0|3|6|7|8|9|10,1,0.29392971246006394
7,5,0|3|6|7|8|9|10,2,0.39628482972136225
7,5,0|3|6|7|8|9|10,3,0.34615384615384615
7,5,0|3|6|7|8|9|10,4,0.6125827814569536
7,6,0|1|3|4|5|6|10,0,-0.011527377521613813
7,6,0|1|3|4|5|6|10,1,0.24695121951219512
7,6,0|1|3|4|5|6|10,2,0.5014749262536873
7,6,0|1|3|4|5|6|10,3,0.3829113924050632
7,6,0|1|3|4|5|6|10,4,0.6153846153846154
8,0,2|3|4|5|6|7|9|10,0,0.6919431279620853
8,0,2|3|4|5|6|7|9|10,1,0.5185185185185186
8,0,2|3|4|5|6|7|9|10,2,0.8311688311688312
8,0,2|3|4|5|6|7|9|10,3,0.4841269841269841
8,0,2|3|4|5|6|7|9|10,4,0.7699115044247787
8,1,1|2|3|4|5|6|7|9,0,0.6522292993630573
8,1,1|2|3|4|5|6|7|9,1,0.6374501992031872
8,1,1|2|3|4|5|6|7|9,2,0.7952755905511811
8,1,1|2|3|4|5|6|7|9,3,0.5760869565217391
8,1,1|2|3|4|5|6|7|9,4,0.6374501992031872
8,2,2|3|5|6|7|8|9|10,0,0.48684210526315785
8,2,2|3|5|6|7|8|9|10,1,0.16129032258064513
8,2,2|3|5|6|7|8|9|10,2,0.3743315508021391
8,2,2|3|5|6|7|8|9|10,3,0.22881355932203384
8,2,2|3|5|6|7|8|9|10,4,0.47398843930635837
